Name,Email,Region,Role,Department,Gender,Tenure,OverallSatisfaction,JobSatisfaction,OrganizationalCulture,WorkLifeBalance
Rachael_Reynolds95,Fern8@gmail.com,French Polynesia,Analyst,hr,female,30,4,1,2,1
Armani64,Mandy18@yahoo.com,Ireland,Architect,hr,male,24,5,4,1,4
Ena.Schumm,Darwin_Haag68@yahoo.com,Bosnia and Herzegovina,Strategist,content,male,23,5,2,2,2
Lindsey.Hyatt5,Dangelo_Roberts@gmail.com,Yemen,Developer,content,male,4,3,1,4,5
Breanna.Boehm0,Amos12@hotmail.com,Jersey,Executive,tech,male,25,5,2,4,2
Elmo.Runolfsson76,Mozelle7@gmail.com,American Samoa,Supervisor,sales,male,23,5,1,2,3
Einar.Schinner,Parker_Runolfsson@yahoo.com,Norway,Representative,product,male,28,4,1,1,2
Stephanie.Heidenreich,Austyn20@hotmail.com,Madagascar,Agent,product,male,12,5,3,5,4
Libbie.Jakubowski1,Rahul.Ebert@hotmail.com,Yemen,Engineer,finance,male,2,5,4,3,2
Kari.Graham,Gage.Cole@yahoo.com,Germany,Supervisor,sales,female,15,3,5,1,3
Meta_McCullough,Lukas_Feeney40@hotmail.com,Egypt,Manager,finance,female,6,1,2,4,2
Jaquelin.Senger,Ebony25@yahoo.com,Trinidad and Tobago,Administrator,sales,male,3,3,2,2,5
Wilfredo_Gleichner34,Lavinia_Ritchie@yahoo.com,Democratic People's Republic of Korea,Engineer,tech,male,4,3,5,4,4
Lew31,Lauren.Roberts21@yahoo.com,Indonesia,Technician,content,male,29,2,1,5,3
Anita_Wunsch20,Josephine_Lynch@hotmail.com,Montserrat,Representative,hr,female,26,1,5,3,2
Zoila64,Hubert_Gutmann79@gmail.com,Somalia,Technician,content,male,20,5,2,4,5
Janessa.Bradtke21,Winifred_Padberg@yahoo.com,Fiji,Engineer,hr,male,20,3,1,2,3
Marcel_Wiegand75,Kenneth.Schroeder18@gmail.com,China,Administrator,content,female,25,4,5,2,3
Chester.Flatley55,Adelia_Kilback22@hotmail.com,Taiwan,Administrator,product,female,2,5,2,5,5
Brett_Bosco29,Nathen.Mayer39@hotmail.com,Central African Republic,Orchestrator,sales,female,2,5,1,1,2
Norma_Kris,Aurore_Waelchi37@yahoo.com,Sierra Leone,Developer,content,male,8,5,2,2,4
Amina_Bahringer,Jermain24@hotmail.com,Denmark,Officer,tech,female,23,1,2,5,3
Rosario.Pollich,Zion13@yahoo.com,Saint Kitts and Nevis,Engineer,sales,male,22,5,4,3,2
Jerrold_Medhurst,Tyshawn25@hotmail.com,Libyan Arab Jamahiriya,Coordinator,sales,female,4,2,4,3,2
Lewis86,Antoinette.Fritsch39@hotmail.com,North Macedonia,Facilitator,product,female,23,3,4,2,2
Oren72,Jamir_Bartoletti@yahoo.com,Grenada,Representative,finance,female,8,4,5,2,2
Shirley_Dickinson8,Otilia_Kerluke60@gmail.com,Latvia,Strategist,sales,female,6,5,1,1,5
Michel.Kihn,Emmalee67@hotmail.com,Lebanon,Executive,sales,female,19,5,1,3,3
Aron23,Lew60@yahoo.com,South Africa,Associate,tech,female,30,3,2,1,4
Brandyn_OHara,Alfreda.Wintheiser@gmail.com,Nepal,Specialist,tech,male,18,4,3,2,2
Rasheed.Brekke25,Reynold11@hotmail.com,Greenland,Assistant,tech,female,20,5,3,1,4
Norberto37,Zoe.Prosacco38@hotmail.com,Guyana,Associate,product,male,8,1,5,1,5
Zola.Cremin95,Sydney_Ziemann87@gmail.com,Philippines,Specialist,product,female,7,4,2,1,4
Ana_Rice60,Curt69@hotmail.com,South Sudan,Architect,hr,female,27,3,1,2,2
